Model,Accuracy,SOV_99,SOV_refine
model_0,0.608,0.548,0.639
model_1,0.583,0.561,0.633
model_2,0.543,0.533,0.602
model_3,0.518,0.480,0.535
model_4,0.613,0.613,0.663
model_5,0.563,0.561,0.614
model_6,0.588,0.554,0.612
model_7,0.548,0.554,0.623
model_8,0.573,0.599,0.680
model_9,0.593,0.567,0.618
model_10,0.543,0.546,0.635
model_11,0.568,0.541,0.607
model_12,0.492,0.483,0.587
model_13,0.548,0.561,0.654
model_14,0.538,0.541,0.629
model_15,0.568,0.495,0.610
model_16,0.603,0.576,0.676
model_17,0.508,0.498,0.576
model_18,0.598,0.590,0.665
model_19,0.578,0.573,0.664
