466	4.030
467	3.961
468	3.989
469	3.897
470	3.923
471	3.991
472	3.952
473	3.941
474	3.902
475	3.935
476	3.844
477	3.906
478	3.918
479	3.894
480	3.921
481	3.874
482	3.888
483	3.848
484	3.863
485	3.817
486	3.835
487	3.757
488	3.819
489	3.779
490	3.783
491	3.780
492	3.844
493	3.825
494	3.829
495	3.815
496	3.783
497	3.835
498	3.899
499	3.905
500	3.771
501	3.890
502	3.885
503	3.882
504	3.828
505	3.813
506	3.875
507	3.843
508	3.843
509	3.888
510	3.926
511	3.933
512	3.920
513	3.958
514	3.939
515	3.924
516	3.965
517	3.937
518	3.889
519	3.969
520	3.905
521	3.904
522	3.975
523	4.011
524	4.052
525	4.154
526	4.091
527	4.050
528	4.100
529	4.103
530	4.108
531	4.045
532	4.092
533	4.034
534	4.094
535	4.087
536	4.073
537	4.034
538	4.053
539	3.961
540	3.976
541	3.949
542	3.937
543	3.972
544	4.035
545	4.001
546	4.069
547	4.027
548	4.098
549	3.942
550	4.004
551	3.939
552	3.990
553	3.991
554	3.979
555	4.128
556	4.142
557	4.092
558	4.071
559	3.997
560	4.030
561	4.006
562	3.961
563	4.023
564	3.995
565	3.997
566	4.042
567	4.000
568	3.908
569	3.954
570	3.997
571	3.960
572	4.032
573	3.932
574	4.088
575	4.004
576	4.011
577	4.078
578	4.086
579	4.008
580	4.047
581	4.013
582	4.049
583	3.995
584	4.110
585	4.041
586	3.982
587	3.976
588	4.038
589	3.965
590	3.985
591	4.043
592	3.949
593	3.943
594	3.980
595	3.937
596	3.961
597	3.872
598	3.874
599	3.916
600	3.981
601	3.875
602	3.903
603	4.031
604	3.918
605	3.954
606	3.963
607	3.874
608	3.861
609	3.988
610	3.963
611	3.922
612	3.878
613	3.928
614	3.861
615	3.862
616	3.711
617	3.767
618	3.769
619	3.826
620	3.905
621	3.920
622	3.910
623	3.863
624	3.927
625	3.772
626	3.807
627	3.785
628	3.813
629	3.827
630	3.736
631	3.752
632	3.757
633	3.840
634	3.871
635	3.800
636	3.964
637	3.944
638	3.960
639	3.864
640	3.678
641	3.947
642	3.808
643	3.832
644	3.870
645	3.937
646	3.804
647	3.908
648	3.995
649	3.968
650	3.861
651	4.020
652	3.961
653	3.820
654	3.806
655	3.890
656	3.897
657	3.903
658	3.831
659	3.826
660	3.862
661	3.828
662	4.010
663	3.994
664	3.977
665	4.089
666	4.092
667	4.069
668	4.037
669	4.065
670	4.156
671	4.015
672	3.986
673	3.969
674	3.958
675	3.977
676	3.936
677	3.936
678	3.875
679	3.950
