Model,Accuracy,SOV_99,SOV_refine
model_0,0.568,0.580,0.658
model_1,0.563,0.561,0.624
model_2,0.563,0.553,0.612
model_3,0.608,0.629,0.681
model_4,0.538,0.534,0.602
model_5,0.598,0.621,0.664
model_6,0.628,0.630,0.678
model_7,0.568,0.574,0.639
model_8,0.603,0.595,0.639
model_9,0.618,0.606,0.649
model_10,0.573,0.591,0.643
model_11,0.588,0.553,0.639
model_12,0.588,0.579,0.656
model_13,0.578,0.597,0.653
model_14,0.588,0.600,0.658
model_15,0.548,0.547,0.627
model_16,0.628,0.616,0.670
model_17,0.608,0.586,0.654
model_18,0.668,0.644,0.696
model_19,0.558,0.548,0.602
