Model,Accuracy,SOV_99,SOV_refine
model_0,0.673,0.669,0.696
model_1,0.678,0.663,0.735
model_2,0.653,0.637,0.767
model_3,0.648,0.672,0.703
model_4,0.683,0.680,0.746
model_5,0.638,0.628,0.662
model_6,0.648,0.648,0.696
model_7,0.658,0.627,0.676
model_8,0.668,0.646,0.701
model_9,0.628,0.626,0.745
model_10,0.598,0.628,0.702
model_11,0.673,0.687,0.710
model_12,0.638,0.671,0.700
model_13,0.678,0.692,0.717
model_14,0.678,0.617,0.695
model_15,0.638,0.642,0.707
model_16,0.744,0.757,0.780
model_17,0.613,0.594,0.660
model_18,0.623,0.658,0.697
model_19,0.603,0.591,0.659
